,Road0,Road1,Road2,Road3,Road4,Road5,Road6,Road7,Road8,Road9,Road10,Road11
219,884,572,116,312,572,43,291,73,64,863,73,137
220,246,126,754,120,126,425,94,329,451,220,329,780
221,868,545,132,323,545,53,308,79,68,853,79,147
222,230,99,770,131,99,387,96,383,422,195,383,805
223,859,567,141,292,567,49,280,92,61,847,92,153
224,256,119,744,137,119,368,91,376,414,210,376,790
225,876,593,124,283,593,38,261,86,60,854,86,146
226,239,111,761,128,111,384,93,377,419,204,377,796
227,870,558,130,312,558,54,296,76,70,854,76,146
228,226,97,774,129,97,377,97,397,409,194,397,806
229,871,561,129,310,561,42,295,87,57,856,87,144
230,214,111,786,103,111,387,77,399,413,188,399,812
231,861,547,139,314,547,44,297,95,61,844,95,156
232,242,116,758,126,116,393,79,365,440,195,365,805
233,853,543,147,310,543,66,286,81,90,829,81,171
234,249,98,751,151,98,392,107,359,436,205,359,795
235,867,554,133,313,554,57,282,76,88,836,76,164
236,245,108,755,137,108,411,107,344,441,215,344,785
237,876,561,124,315,561,51,297,73,69,858,73,142
238,239,106,761,133,106,372,102,389,403,208,389,792
239,882,585,118,297,585,42,279,76,60,864,76,136
240,228,105,772,123,105,397,87,375,433,192,375,808
241,859,571,141,288,571,63,276,78,75,847,78,153
242,253,114,747,139,114,366,98,381,407,212,381,788
243,871,559,129,312,559,51,291,78,72,850,78,150
244,257,113,743,144,113,380,95,363,429,208,363,792
245,879,550,121,329,550,51,309,70,71,859,70,141
246,226,101,774,125,101,375,89,399,411,190,399,810
247,865,553,135,312,553,54,295,81,71,848,81,152
248,226,100,774,126,100,425,87,349,464,187,349,813
249,863,590,137,273,590,59,253,78,79,843,78,157
250,235,119,765,116,119,407,81,358,442,200,358,800
251,870,575,130,295,575,49,277,81,67,852,81,148
252,227,102,773,125,102,417,97,356,445,199,356,801
253,865,577,135,288,577,63,277,72,74,854,72,146
254,238,106,762,132,106,373,89,389,416,195,389,805
255,867,566,133,301,566,49,291,84,59,857,84,143
256,234,98,766,136,98,393,107,373,422,205,373,795
257,865,546,135,319,546,50,306,85,63,852,85,148
258,246,119,754,127,119,390,93,364,424,212,364,788
259,878,544,122,334,544,44,317,78,61,861,78,139
260,233,105,767,128,105,391,103,376,416,208,376,792
261,863,532,137,331,532,57,319,80,69,851,80,149
262,228,104,772,124,104,374,106,398,392,210,398,790
263,857,581,143,276,581,51,265,92,62,846,92,154
264,253,118,747,135,118,387,99,360,423,217,360,783
265,859,549,141,310,549,58,296,83,72,845,83,155
266,230,108,770,122,108,395,84,375,433,192,375,808
